あ, 動詞, "a N"
あ, 動詞, "a q"
あ, 感動詞, "a"
あ, 記号, "a"
ああ, 副詞, "a:"
ああ, 感動詞, "a:"
あああ, 感動詞, "a a:"
ああっ, 感動詞, "a: q"
ああん, 感動詞, "a: N"
ああー, 感動詞, "a a:"
ああー, 感動詞, "a:"
あい, 動詞, "a i"
あい, 名詞, "a i"
あい, 感動詞, "a i"
あい, 接尾辞, "a i"
あい, 接頭辞, "a i"
あいあい, 名詞, "a i a i"
あいあい, 形状詞, "a i a i"
あいこ, 名詞, "a i k o"
あいさつ, 名詞, "a i s a ts u"
あいだ, 名詞, "a i d a"
あいつ, 代名詞, "a i ts u"
あいづち, 名詞, "a i z u ch i"
あいて, 名詞, "a i t e"
あいにく, 副詞, "a i n i k u"
あいにく, 形状詞, "a i n i k u"
あいのり, 名詞, "a i n o r i"
あいま, 名詞, "a i m a"
あいまい, 形状詞, "a i m a i"
あう, 動詞, "a u"
あう, 感動詞, "a u"
あえ, 動詞, "a e"
あえ, 接尾辞, "a e"
あえい, 動詞, "a e:"
あえぎ, 動詞, "a e g i"
あえぐ, 動詞, "a e g u"
あえて, 副詞, "a e t e"
あえなく, 形容詞, "a e n a k u"
あえる, 動詞, "a e r u"
あお, 名詞, "a o"
あおい, 動詞, "a o i"
あおい, 名詞, "a o i"
あおぎ, 動詞, "a o g i"
あおっ, 動詞, "a o q"
あおむけ, 名詞, "a o m u k e"
あおら, 動詞, "a o r a"
あおり, 動詞, "a o r i"
あおり, 名詞, "a o r i"
あおる, 動詞, "a o r u"
あお向け, 名詞, "a o m u k e"
あか, 動詞, "a k a"
あか, 名詞, "a k a"
あかあか, 副詞, "a k a a k a"
あかい, 形容詞, "a k a i"
あかし, 名詞, "a k a sh i"
あかちゃん, 名詞, "a k a ch a N"
あかつき, 名詞, "a k a ts u k i"
あかね, 名詞, "a k a n e"
あからさま, 形状詞, "a k a r a s a m a"
あかり, 名詞, "a k a r i"
あかるい, 形容詞, "a k a r u i"
あかるく, 形容詞, "a k a r u k u"
あがい, 動詞, "a g a i"
あがっ, 動詞, "a g a q"
あがめ, 動詞, "a g a m e"
あがら, 動詞, "a g a r a"
あがり, 動詞, "a g a r i"
あがり, 名詞, "a g a r i"
あがり, 接尾辞, "a g a r i"
あがる, 動詞, "a g a r u"
あき, 動詞, "a k i"
あき, 名詞, "a k i"
あきた, 名詞, "a k i t a"
あきら, 名詞, "a k i r a"
あきらか, 形状詞, "a k i r a k a"
あきらめ, 動詞, "a k i r a m e"
あきらめ, 名詞, "a k i r a m e"
あきらめよう, 動詞, "a k i r a m e y o:"
あきらめる, 動詞, "a k i r a m e r u"
あきれ, 動詞, "a k i r e"
あきれる, 動詞, "a k i r e r u"
あき子, 名詞, "a k i k o"
あく, 動詞, "a k u"
あく, 名詞, "a k u"
あくせく, 副詞, "a k u s e k u"
あくび, 名詞, "a k u b i"
あくまで, 副詞, "a k u m a d e"
あくる, 動詞, "a k u r u"
あくる日, 名詞, "a k u r u h i"
あぐね, 動詞, "a g u n e"
あぐら, 名詞, "a g u r a"
あぐり, 名詞, "a g u r i"
あけ, 動詞, "a k e"
あけぼの, 名詞, "a k e b o n o"
あける, 動詞, "a k e r u"
あげ, 動詞, "a g e"
あげく, 名詞, "a g e k u"
あげよう, 動詞, "a g e y o:"
あげる, 動詞, "a g e r u"
あげれ, 動詞, "a g e r e"
あこ, 名詞, "a k o"
あこがれ, 動詞, "a k o g a r e"
あこがれ, 名詞, "a k o g a r e"
あこがれる, 動詞, "a k o g a r e r u"
あご, 名詞, "a g o"
あごひげ, 名詞, "a g o h i g e"
あさ, 名詞, "a s a"
あさっ, 動詞, "a s a q"
あさって, 名詞, "a s a q t e"
あさひ, 名詞, "a s a h i"
あさましい, 形容詞, "a s a m a sh i:"
あさり, 名詞, "a s a r i"
あざ, 名詞, "a z a"
あざける, 動詞, "a z a k e r u"
あざやか, 形状詞, "a z a y a k a"
あざ笑う, 動詞, "a z a w a r a u"
あし, 名詞, "a sh i"
あしから, 形容詞, "a sh i k a r a"
あした, 名詞, "a sh i t a"
あしらい, 動詞, "a sh i r a i"
あしらう, 動詞, "a sh i r a u"
あしらっ, 動詞, "a sh i r a q"
あしらわ, 動詞, "a sh i r a w a"
あじ, 名詞, "a j i"
あじさい, 名詞, "a j i s a i"
あす, 名詞, "a s u"
あすか, 名詞, "a s u k a"
あすこ, 代名詞, "a s u k o"
あすなろ, 名詞, "a s u n a r o"
あずかっ, 動詞, "a z u k a q"
あずかり, 動詞, "a z u k a r i"
あずかる, 動詞, "a z u k a r u"
あずき, 名詞, "a z u k i"
あずけ, 動詞, "a z u k e"
あずさ, 名詞, "a z u s a"
あずま, 名詞, "a z u m a"
あずみ, 名詞, "a z u m i"
あせ, 名詞, "a s e"
あせっ, 動詞, "a s e q"
あせも, 名詞, "a s e m o"
あせら, 動詞, "a s e r a"
あせり, 動詞, "a s e r i"
あせり, 名詞, "a s e r i"
あせる, 動詞, "a s e r u"
あぜ, 名詞, "a z e"
あぜ道, 名詞, "a z e m i ch i"
あそこ, 代名詞, "a s o k o"
あそび, 動詞, "a s o b i"
あそび, 名詞, "a s o b i"
あそぶ, 動詞, "a s o b u"
あそぼう, 動詞, "a s o b o:"
あそん, 動詞, "a s o N"
あたい, 代名詞, "a t a i"
あたえ, 動詞, "a t a e"
あたえる, 動詞, "a t a e r u"
あたかも, 副詞, "a t a k a m o"
あたくし, 代名詞, "a t a k u sh i"
あたし, 代名詞, "a t a sh i"
あたしゃ, 代名詞, "a t a sh a"
あたたか, 形容詞, "a t a t a k a"
あたたか, 形状詞, "a t a t a k a"
あたたかい, 形容詞, "a t a t a k a i"
あたたかく, 形容詞, "a t a t a k a k u"
あたため, 動詞, "a t a t a m e"
あたためる, 動詞, "a t a t a m e r u"
あたっ, 動詞, "a t a q"
あたふた, 副詞, "a t a f u t a"
あたま, 名詞, "a t a m a"
あたら, 動詞, "a t a r a"
あたらしい, 形容詞, "a t a r a sh i:"
あたり, 動詞, "a t a r i"
あたり, 名詞, "a t a r i"
あたり, 接尾辞, "a t a r i"
あたりまえ, 形状詞, "a t a r i m a e"
あたり前, 形状詞, "a t a r i m a e"
あたる, 動詞, "a t a r u"
あだ, 名詞, "a d a"
あだ名, 名詞, "a d a n a"
あちこち, 代名詞, "a ch i k o ch i"
あちゃ, 感動詞, "a ch a"
あちら, 代名詞, "a ch i r a"
あちらこちら, 代名詞, "a ch i r a k o ch i r a"
あっ, 動詞, "a q"
あっ, 名詞, "a q"
あっ, 感動詞, "a q"
あっけ, 名詞, "a q k e"
あっけない, 形容詞, "a q k e n a i"
あっけなく, 形容詞, "a q k e n a k u"
あっけらかん, 副詞, "a q k e r a k a N"
あっさり, 副詞, "a q s a r i"
あっし, 代名詞, "a q sh i"
あっせん, 名詞, "a q s e N"
あったか, 形容詞, "a q t a k a"
あったかい, 形容詞, "a q t a k a i"
あったかく, 形容詞, "a q t a k a k u"
あっち, 代名詞, "a q ch i"
あっちこっち, 代名詞, "a q ch i k o q ch i"
あっと, 名詞, "a q t o"
あっぱれ, 形状詞, "a q p a r e"
あっ旋, 名詞, "a q s e N"
あつあつ, 名詞, "a ts u a ts u"
あつい, 形容詞, "a ts u i"
あつかい, 動詞, "a ts u k a i"
あつかい, 名詞, "a ts u k a i"
あつかう, 動詞, "a ts u k a u"
あつかっ, 動詞, "a ts u k a q"
あつかわ, 動詞, "a ts u k a w a"
あつぎ, 名詞, "a ts u g i"
あつく, 形容詞, "a ts u k u"
あつまっ, 動詞, "a ts u m a q"
あつみ, 名詞, "a ts u m i"
あつめ, 動詞, "a ts u m e"
あて, 動詞, "a t e"
あて, 名詞, "a t e"
あて, 接尾辞, "a t e"
あてがい, 動詞, "a t e g a i"
あてがっ, 動詞, "a t e g a q"
あてがわ, 動詞, "a t e g a w a"
あてはまら, 動詞, "a t e h a m a r a"
あてはまる, 動詞, "a t e h a m a r u"
あてはめ, 動詞, "a t e h a m e"
あてはめる, 動詞, "a t e h a m e r u"
あてる, 動詞, "a t e r u"
あて先, 名詞, "a t e s a k i"
あて名, 名詞, "a t e n a"
あでやか, 形状詞, "a d e y a k a"
あと, 名詞, "a t o"
あとあと, 名詞, "a t o a t o"
あとがき, 名詞, "a t o g a k i"
あとずさっ, 動詞, "a t o z u s a q"
あとずさり, 名詞, "a t o z u s a r i"
あどけない, 形容詞, "a d o k e n a i"
あな, 名詞, "a n a"
あながち, 副詞, "a n a g a ch i"
あなた, 代名詞, "a n a t a"
あに, 名詞, "a n i"
あね, 名詞, "a n e"
あの, 感動詞, "a n o"
あの, 連体詞, "a n o"
あのー, 感動詞, "a n o:"
あの世, 名詞, "a n o y o"
あは, 感動詞, "a h a"
あはっ, 感動詞, "a h a q"
あはは, 感動詞, "a h a h a"
あははは, 感動詞, "a h a h a h a"
あはははは, 感動詞, "a h a h a h a h a"
あはれ, 名詞, "a w a r e"
あばら骨, 名詞, "a b a r a b o n e"
あばれ, 動詞, "a b a r e"
あひる, 名詞, "a h i r u"
あび, 動詞, "a b i"
あびせ, 動詞, "a b i s e"
あびる, 動詞, "a b i r u"
あびる, 名詞, "a b i r u"
あふる, 動詞, "a f u r u"
あふれ, 動詞, "a f u r e"
あふれ, 動詞, "a u r e"
あふれる, 動詞, "a f u r e r u"
あふれ出, 動詞, "a f u r e d e"
あふれ出し, 動詞, "a f u r e d a sh i"
あぶっ, 動詞, "a b u q"
あぶない, 形容詞, "a b u n a i"
あぶら, 名詞, "a b u r a"
あへん, 名詞, "a h e N"
あべこべ, 形状詞, "a b e k o b e"
あほ, 名詞, "a h o"
あまい, 形容詞, "a m a i"
あまく, 形容詞, "a m a k u"
あます, 動詞, "a m a s u"
あまた, 副詞, "a m a t a"
あまっ, 動詞, "a m a q"
あまつさえ, 副詞, "a m a ts u s a e"
あまねく, 副詞, "a m a n e k u"
あまり, 副詞, "a m a r i"
あまり, 名詞, "a m a r i"
あまり, 形状詞, "a m a r i"
あまる, 動詞, "a m a r u"
あみ, 名詞, "a m i"
あめ, 名詞, "a m e"
あや, 名詞, "a y a"
あやうく, 形容詞, "a y a u k u"
あやかっ, 動詞, "a y a k a q"
あやし, 動詞, "a y a sh i"
あやし, 形容詞, "a y a sh i"
あやしい, 形容詞, "a y a sh i:"
あやしく, 形容詞, "a y a sh i k u"
あやす, 動詞, "a y a s u"
あやつ, 代名詞, "a y a ts u"
あやつっ, 動詞, "a y a ts u q"
あやつり, 動詞, "a y a ts u r i"
あやつる, 動詞, "a y a ts u r u"
あやふや, 形状詞, "a y a f u y a"
あやまち, 名詞, "a y a m a ch i"
あやまっ, 動詞, "a y a m a q"
あやまり, 動詞, "a y a m a r i"
あやまる, 動詞, "a y a m a r u"
あやめ, 名詞, "a y a m e"
あやや, 名詞, "a y a y a"
あゆ, 名詞, "a y u"
あゆみ, 名詞, "a y u m i"
あら, 動詞, "a r a"
あら, 名詞, "a r a"
あら, 感動詞, "a r a"
あらい, 形容詞, "a r a i"
あらう, 動詞, "a r a u"
あらう, 動詞, "a r o:"
あらかじめ, 副詞, "a r a k a j i m e"
あらかた, 名詞, "a r a k a t a"
あらし, 名詞, "a r a sh i"
あらすじ, 名詞, "a r a s u j i"
あらた, 形状詞, "a r a t a"
あらたまっ, 動詞, "a r a t a m a q"
あらため, 動詞, "a r a t a m e"
あらためて, 副詞, "a r a t a m e t e"
あらっ, 感動詞, "a r a q"
あらまし, 名詞, "a r a m a sh i"
あらゆる, 連体詞, "a r a y u r u"
あらら, 感動詞, "a r a r a"
あられ, 名詞, "a r a r e"
あらわ, 形状詞, "a r a w a"
あらわさ, 動詞, "a r a w a s a"
あらわし, 動詞, "a r a w a sh i"
あらわす, 動詞, "a r a w a s u"
あらわれ, 動詞, "a r a w a r e"
あらわれ, 名詞, "a r a w a r e"
あらわれる, 動詞, "a r a w a r e r u"
あり, 動詞, "a r i"
あり, 名詞, "a r i"
ありあり, 副詞, "a r i a r i"
ありか, 名詞, "a r i k a"
ありがた, 形容詞, "a r i g a t a"
ありがたい, 形容詞, "a r i g a t a i"
ありがたかっ, 形容詞, "a r i g a t a k a q"
ありがたく, 形容詞, "a r i g a t a k u"
ありがと, 感動詞, "a r i g a t o"
ありがとう, 感動詞, "a r i g a t o:"
ありきたり, 名詞, "a r i k i t a r i"
ありさま, 名詞, "a r i s a m a"
ありったけ, 名詞, "a r i q t a k e"
ありつい, 動詞, "a r i ts u i"
ありのまま, 名詞, "a r i n o m a m a"
ありふれ, 動詞, "a r i f u r e"
ありゃ, 代名詞, "a ry a"
ありゃ, 動詞, "a ry a"
ありゃ, 感動詞, "a ry a"
ありゃあ, 代名詞, "a ry a:"
あり余る, 動詞, "a r i a m a r u"
ある, 動詞, "a r u"
ある, 連体詞, "a r u"
あるい, 動詞, "a r u i"
あるいは, 接続詞, "a r u i w a"
あるき, 動詞, "a r u k i"
あるく, 動詞, "a r u k u"
あるじ, 名詞, "a r u j i"
あれ, 代名詞, "a r e"
あれ, 動詞, "a r e"
あれ, 感動詞, "a r e"
あれこれ, 名詞, "a r e k o r e"
あれっ, 感動詞, "a r e q"
あれれ, 感動詞, "a r e r e"
あろう, 動詞, "a r o:"
あわ, 動詞, "a w a"
あわ, 名詞, "a w a"
あわさ, 動詞, "a w a s a"
あわせ, 動詞, "a w a s e"
あわせ, 名詞, "a w a s e"
あわせる, 動詞, "a w a s e r u"
あわただしい, 形容詞, "a w a t a d a sh i:"
あわただしく, 形容詞, "a w a t a d a sh i k u"
あわて, 動詞, "a w a t e"
あわてふためい, 動詞, "a w a t e f u t a m e:"
あわてる, 動詞, "a w a t e r u"
あわや, 副詞, "a w a y a"
あわよくば, 副詞, "a w a y o k u b a"
あわれ, 名詞, "a w a r e"
あわれみ, 名詞, "a w a r e m i"
あん, 動詞, "a N"
あん, 名詞, "a N"
あん, 連体詞, "a N"
あんかけ, 名詞, "a N k a k e"
あんぐり, 副詞, "a N g u r i"
あんこ, 名詞, "a N k o"
あんしん, 名詞, "a N sh i N"
あんず, 名詞, "a N z u"
あんた, 代名詞, "a N t a"
あんな, 形状詞, "a N n a"
あんな, 連体詞, "a N n a"
あんばい, 名詞, "a N b a i"
あんま, 副詞, "a N m a"
あんまし, 副詞, "a N m a sh i"
あんまり, 副詞, "a N m a r i"
あんまり, 形状詞, "a N m a r i"
あんみつ, 名詞, "a N m i ts u"
あッ, 動詞, "a q"
あー, 感動詞, "a:"
あーあ, 感動詞, "a: a"
あーっ, 感動詞, "a: q"
あーん, 感動詞, "a: N"
ぃ, 助詞, "i"
い, 助詞, "i"
い, 動詞, "i"
い, 感動詞, "i"
い, 記号, "i"
いい, 動詞, "i:"
いい, 形容詞, "i:"
いいえ, 感動詞, "i: e"
いいかえる, 動詞, "i: k a e r u"
いいかえれ, 動詞, "i: k a e r e"
いいかけ, 動詞, "i: k a k e"
いいきかせ, 動詞, "i: k i k a s e"
いいきれ, 動詞, "i: k i r e"
いいつけ, 動詞, "i: ts u k e"
いいや, 感動詞, "i: y a"
いい聞かせ, 動詞, "i: k i k a s e"
いう, 動詞, "i u"
いう, 動詞, "y u:"
いえ, 動詞, "i e"
いえ, 感動詞, "i e"
いえよう, 動詞, "i e y o:"
いえる, 動詞, "i e r u"
いおう, 動詞, "i o:"
いか, 動詞, "i k a"
いか, 名詞, "i k a"
いかが, 副詞, "i k a g a"
いかが, 形状詞, "i k a g a"
いかがわしい, 形容詞, "i k a g a w a sh i:"
いかさま, 名詞, "i k a s a m a"
いかし, 動詞, "i k a sh i"
いかす, 動詞, "i k a s u"
いかだ, 名詞, "i k a d a"
いかつい, 形容詞, "i k a ts u i"
いかな, 連体詞, "i k a n a"
いかなる, 連体詞, "i k a n a r u"
いかに, 副詞, "i k a n i"
いかめしい, 形容詞, "i k a m e sh i:"
いかよう, 形状詞, "i k a y o:"
いかり, 名詞, "i k a r i"
いかれ, 動詞, "i k a r e"
いかん, 名詞, "i k a N"
いがい, 名詞, "i g a i"
いき, 動詞, "i k i"
いき, 名詞, "i k i"
いきいき, 副詞, "i k i i k i"
いきおい, 副詞, "i k i o i"
いきおい, 名詞, "i k i o i"
いきさつ, 名詞, "i k i s a ts u"
いきなり, 副詞, "i k i n a r i"
いきもの, 名詞, "i k i m o n o"
いく, 動詞, "i k u"
いく, 名詞, "i k u"
いくさ, 名詞, "i k u s a"
いくばく, 副詞, "i k u b a k u"
いくぶん, 名詞, "i k u b u N"
いくら, 副詞, "i k u r a"
いくら, 名詞, "i k u r a"
いけ, 動詞, "i k e"
いけにえ, 名詞, "i k e n i e"
いけばな, 名詞, "i k e b a n a"
いける, 動詞, "i k e r u"
いけれ, 動詞, "i k e r e"
いこ, 動詞, "i k o"
いこい, 名詞, "i k o i"
いこう, 動詞, "i k o u"
いこう, 動詞, "i k o:"
いさかい, 名詞, "i s a k a i"
いさぎよく, 形容詞, "i s a g i y o k u"
いささか, 副詞, "i s a s a k a"
いざ, 感動詞, "i z a"
いざこざ, 名詞, "i z a k o z a"
いし, 名詞, "i sh i"
いしい, 名詞, "i sh i i"
いしょう, 名詞, "i sh o:"
いじ, 名詞, "i j i"
いじけ, 動詞, "i j i k e"
いじっ, 動詞, "i j i q"
いじめ, 動詞, "i j i m e"
いじめ, 名詞, "i j i m e"
いじめっ子, 名詞, "i j i m e q k o"
いじめる, 動詞, "i j i m e r u"
いじょう, 名詞, "i j o:"
いじら, 動詞, "i j i r a"
いじらしい, 形容詞, "i j i r a sh i:"
いじり, 動詞, "i j i r i"
いじり, 名詞, "i j i r i"
いじる, 動詞, "i j i r u"
いす, 名詞, "i s u"
いすゞ, 名詞, "i s u z u"
いずこ, 代名詞, "i z u k o"
いずみ, 名詞, "i z u m i"
いずれ, 代名詞, "i z u r e"
いずれ, 副詞, "i z u r e"
いぜん, 副詞, "i z e N"
いそ, 名詞, "i s o"
いそい, 動詞, "i s o i"
いそいそ, 副詞, "i s o i s o"
いそがしい, 形容詞, "i s o g a sh i:"
いそがしく, 形容詞, "i s o g a sh i k u"
いそぎ, 動詞, "i s o g i"
いそしむ, 動詞, "i s o sh i m u"
いたい, 形容詞, "i t a i"
いたく, 副詞, "i t a k u"
いたく, 形容詞, "i t a k u"
いたさ, 動詞, "i t a s a"
いたし, 動詞, "i t a sh i"
いたす, 動詞, "i t a s u"
いたずら, 名詞, "i t a z u r a"
いたずら, 形状詞, "i t a z u r a"
いたせ, 動詞, "i t a s e"
いたそう, 動詞, "i t a s o:"
いたたまれ, 動詞, "i t a t a m a r e"
いただい, 動詞, "i t a d a i"
いただか, 動詞, "i t a d a k a"
いただき, 動詞, "i t a d a k i"
いただく, 動詞, "i t a d a k u"
いただけ, 動詞, "i t a d a k e"
いただける, 動詞, "i t a d a k e r u"
いただけれ, 動詞, "i t a d a k e r e"
いただこう, 動詞, "i t a d a k o:"
いたっ, 動詞, "i t a q"
いたって, 副詞, "i t a q t e"
いため, 動詞, "i t a m e"
いためる, 動詞, "i t a m e r u"
いたら, 動詞, "i t a r a"
いたり, 動詞, "i t a r i"
いたる, 動詞, "i t a r u"
いたわっ, 動詞, "i t a w a q"
いたわり, 動詞, "i t a w a r i"
いたわり, 名詞, "i t a w a r i"
いたわる, 動詞, "i t a w a r u"
いたん, 動詞, "i t a N"
いだい, 動詞, "i d a i"
いだか, 動詞, "i d a k a"
いだき, 動詞, "i d a k i"
いだく, 動詞, "i d a k u"
いち, 名詞, "i ch i"
いちいち, 名詞, "i ch i i ch i"
いちおう, 名詞, "i ch i o:"
いちご, 名詞, "i ch i g o"
いちじく, 名詞, "i ch i j i k u"
いちじるしい, 形容詞, "i ch i j i r u sh i:"
いちじるしく, 形容詞, "i ch i j i r u sh i k u"
いちだん, 名詞, "i ch i d a N"
いちはやく, 副詞, "i ch i h a y a k u"
いちばん, 副詞, "i ch i b a N"
いちめん, 名詞, "i ch i m e N"
いちゃいちゃ, 副詞, "i ch a i ch a"
いちょう, 名詞, "i ch o:"
いち早く, 副詞, "i ch i h a y a k u"
いっ, 動詞, "i q"
いっ, 名詞, "i q"
いっ, 形容詞, "i q"
いっき, 名詞, "i q k i"
いっこう, 副詞, "i q k o:"
いっさい, 名詞, "i q s a i"
いっしょ, 名詞, "i q sh o"
いっしょう, 名詞, "i q sh o:"
いっす, 動詞, "i q s u"
いっせい, 名詞, "i q s e:"
いっそ, 副詞, "i q s o"
いっそう, 副詞, "i q s o:"
いったい, 副詞, "i q t a i"
いったん, 副詞, "i q t a N"
いっつ, 代名詞, "i q ts u"
いっとき, 名詞, "i q t o k i"
いっぱい, 副詞, "i q p a i"
いっぱい, 名詞, "i q p a i"
いっぱし, 副詞, "i q p a sh i"
いっぺん, 名詞, "i q p e N"
いっぽう, 名詞, "i q p o:"
いっぽう, 接続詞, "i q p o:"
いつ, 代名詞, "i ts u"
いつごろ, 名詞, "i ts u g o r o"
いつわり, 名詞, "i ts u w a r i"
いつ頃, 名詞, "i ts u g o r o"
いづみ, 名詞, "i z u m i"
いづれ, 代名詞, "i z u r e"
いて, 動詞, "i t e"
いてる, 動詞, "i t e r u"
いで, 動詞, "i d e"
いでたち, 名詞, "i d e t a ch i"
いと, 副詞, "i t o"
いとう, 名詞, "i t o:"
いとおし, 形容詞, "i t o: sh i"
いとおしく, 形容詞, "i t o: sh i k u"
いとこ, 名詞, "i t o k o"
いとし, 形容詞, "i t o sh i"
いとしい, 形容詞, "i t o sh i:"
いとなみ, 動詞, "i t o n a m i"
いとま, 名詞, "i t o m a"
いとも, 副詞, "i t o m o"
いとわ, 動詞, "i t o w a"
いな, 名詞, "i n a"
いなか, 名詞, "i n a k a"
いなり, 名詞, "i n a r i"
いにしえ, 名詞, "i n i sh i e"
いぬ, 名詞, "i n u"
いのち, 名詞, "i n o ch i"
いは, 動詞, "i w a"
いばっ, 動詞, "i b a q"
いひ, 動詞, "i:"
いびき, 名詞, "i b i k i"
いびつ, 形状詞, "i b i ts u"
いふ, 動詞, "i u"
いふ, 動詞, "y u:"
いぶかし, 形容詞, "i b u k a sh i"
いへ, 動詞, "i e"
いぼ, 名詞, "i b o"
いま, 名詞, "i m a"
いまいち, 副詞, "i m a i ch i"
いまいまし, 形容詞, "i m a i m a sh i"
いまいましい, 形容詞, "i m a i m a sh i:"
いまごろ, 名詞, "i m a g o r o"
いまさら, 副詞, "i m a s a r a"
いましがた, 名詞, "i m a sh i g a t a"
いましめ, 動詞, "i m a sh i m e"
いまだ, 副詞, "i m a d a"
いまどき, 名詞, "i m a d o k i"
いまわしい, 形容詞, "i m a w a sh i:"
いみ, 名詞, "i m i"
いみじく, 形容詞, "i m i j i k u"
いも, 名詞, "i m o"
いもうと, 名詞, "i m o: t o"
いもむし, 名詞, "i m o m u sh i"
いや, 形状詞, "i y a"
いや, 感動詞, "i y a"
いやいや, 名詞, "i y a i y a"
いやいや, 感動詞, "i y a i y a"
いやおう, 名詞, "i y a o:"
いやがらせ, 名詞, "i y a g a r a s e"
いやし, 動詞, "i y a sh i"
いやし, 名詞, "i y a sh i"
いやしく, 形容詞, "i y a sh i k u"
いやす, 動詞, "i y a s u"
いやっ, 感動詞, "i y a q"
いやはや, 感動詞, "i y a h a y a"
いやみ, 名詞, "i y a m i"
いやらしい, 形容詞, "i y a r a sh i:"
いやらしく, 形容詞, "i y a r a sh i k u"
いやん, 形状詞, "i y a N"
いやー, 感動詞, "i y a:"
いよいよ, 副詞, "i y o i y o"
いよう, 動詞, "i y o:"
いら, 動詞, "i r a"
いら, 接尾辞, "i r a"
いらい, 名詞, "i r a i"
いらいら, 名詞, "i r a i r a"
いらし, 動詞, "i r a sh i"
いらだたし, 形容詞, "i r a d a t a sh i"
いらだち, 名詞, "i r a d a ch i"
いらだっ, 動詞, "i r a d a q"
いらっ, 副詞, "i r a q"
いらっしゃい, 動詞, "i r a q sh a i"
いらっしゃっ, 動詞, "i r a q sh a q"
いらっしゃら, 動詞, "i r a q sh a r a"
いらっしゃる, 動詞, "i r a q sh a r u"
いらっしゃれ, 動詞, "i r a q sh a r e"
いり, 動詞, "i r i"
いる, 動詞, "i r u"
いれ, 動詞, "i r e"
いれよう, 動詞, "i r e y o:"
いれる, 動詞, "i r e r u"
いろ, 動詞, "i r o"
いろ, 名詞, "i r o"
いろいろ, 副詞, "i r o i r o"
いろいろ, 形状詞, "i r o i r o"
いろは, 名詞, "i r o h a"
いろり, 名詞, "i r o r i"
いろんな, 連体詞, "i r o N n a"
いわ, 動詞, "i w a"
いわき, 名詞, "i w a k i"
いわく, 名詞, "i w a k u"
いわし, 動詞, "i w a sh i"
いわし, 名詞, "i w a sh i"
いわば, 副詞, "i w a b a"
いわゆる, 連体詞, "i w a y u r u"
いわれ, 名詞, "i w a r e"
いわんや, 副詞, "i w a N y a"
いん, 動詞, "i N"
いんげん, 名詞, "i N g e N"
いゝ, 形容詞, "i:"
いー, 形容詞, "i:"
いー, 感動詞, "i:"
う, 動詞, "u"
う, 感動詞, "u"
う, 記号, "u"
ういろう, 名詞, "u i r o:"
うう, 感動詞, "u:"
ううう, 感動詞, "u u u"
ううっ, 感動詞, "u: q"
ううん, 感動詞, "u: N"
うえ, 動詞, "u e"
うえ, 名詞, "u e"
うお, 名詞, "u o"
うおー, 感動詞, "u o:"
うかうか, 副詞, "u k a u k a"
うかがい, 動詞, "u k a g a i"
うかがい知る, 動詞, "u k a g a i sh i r u"
うかがう, 動詞, "u k a g a u"
うかがえ, 動詞, "u k a g a e"
うかがえる, 動詞, "u k a g a e r u"
うかがっ, 動詞, "u k a g a q"
うかがわ, 動詞, "u k a g a w a"
うかつ, 名詞, "u k a ts u"
